Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Lourdes Gurriel Jr.","ARI",145,592,24,65,82,5,0.055743243,0.173986486,0.201451906,0.28169014,0.261343012,0.309121621,0.462794918,0.3293454404006351,0.326,105.69398563034751,-3.2323194458149374,0.943645001705808,0.07211971282958984,2.111887289202365,"Lourdes Gurriel Jr.",19238,666971
"Nathaniel Lowe","TEX",161,724,17,89,82,1,0.128453038,0.227900552,0.152487961,0.328828828,0.261637239,0.360497237,0.4141252,0.3402530036639639,0.337,114.46637596638784,-8.048728907015175,4.500910386233887,-8.128629922866821,2.091164487809999,"Nathaniel Lowe",19566,663993
"Jon Berti","MIA",133,424,7,53,33,16,0.068396226,0.181603773,0.110824743,0.348534201,0.293814432,0.343601895,0.404639175,0.3250953068335851,0.323,102.62117406435327,0.5660329503007233,1.9428633225847873,4.44989013671875,2.0774937968952467,"Jon Berti",12037,542932
"Brendan Donovan","STL",95,371,11,48,34,5,0.088948787,0.142857142,0.137614679,0.31060606,0.284403669,0.364864864,0.422018348,0.34461593644126604,0.353,118.4947159182304,3.1226537874899805,11.623072008707727,-3.471254050731659,2.072901017248802,"Brendan Donovan",24679,680977
"LaMonte Wade Jr.","SFG",135,519,17,64,45,2,0.146435452,0.183044315,0.160839161,0.289719626,0.256410256,0.372815533,0.417249417,0.3471334024798125,0.362,121.59659785156767,-0.20199867524206638,13.683817713871035,-10.766649723052979,2.0535626284844355,"LaMonte Wade Jr.",18126,664774
"Alex Verdugo","BOS",142,602,13,81,54,5,0.07475083,0.154485049,0.157509158,0.294382022,0.263736263,0.323920265,0.421245421,0.32186062591841536,0.33,97.95097279549793,-2.0372456801123917,-3.5152549063715055,3.4785704612731934,2.0359184765329217,"Alex Verdugo",17027,657077
"Yainer Diaz","HOU",104,377,23,51,60,0,0.029177718,0.196286472,0.256338029,0.291666666,0.28169014,0.307692307,0.538028169,0.35353172283906203,0.365,126.93999253060286,-4.347063465509564,7.8224089475654335,-0.2773400545120239,2.029653995162902,"Yainer Diaz",23003,673237
"Brent Rooker","OAK",137,526,30,61,69,4,0.093155893,0.326996197,0.241900648,0.316981132,0.246220302,0.328897338,0.48812095,0.3482480651991708,0.347,127.06342955020853,-0.03231949498876929,17.02463552551617,-14.757440090179443,2.0081682282051827,"Brent Rooker",19627,667670
"Davis Schneider","TOR",35,141,8,23,20,1,0.14893617,0.304964539,0.327586207,0.369230769,0.275862068,0.404255319,0.603448275,0.42377779838886664,0.353,176.1713903643861,0.12261568941175938,12.991589732422252,2.352040946483612,2.0077411639182388,"Davis Schneider",23565,676914
"Danny Jansen","TOR",86,301,17,38,53,0,0.07641196,0.205980066,0.246268657,0.232804232,0.22761194,0.312292358,0.473880597,0.33629853785037994,0.317,115.53780847647072,0.8299876381643116,6.4338723092932195,3.4117701053619385,2.0015740440202077,"Danny Jansen",16535,643376
"Ryan Noda","OAK",128,495,16,63,54,3,0.155555555,0.343434343,0.177339901,0.346846846,0.229064039,0.363636363,0.40640394,0.3417060995391506,0.334,122.5290655408071,-0.30079476721584797,13.061507964209662,-9.99741005897522,1.9826055566881609,"Ryan Noda",23312,676116
"Luis Rengifo","LAA",126,445,16,55,51,6,0.092134831,0.184269662,0.180203046,0.293333333,0.26395939,0.339325842,0.444162436,0.3388326243068395,0.323,113.9792872115684,0.11789405532181263,7.571698045847092,-3.2758898735046387,1.9360289423584807,"Luis Rengifo",19858,650859
"Maikel Garcia","KCR",123,515,4,59,50,23,0.073786407,0.22330097,0.086206896,0.343661971,0.271551724,0.322957198,0.35775862,0.29873916634325853,0.318,83.92635613357554,-0.8178525483235717,-10.736546730684411,12.53945016860962,1.9246020432306106,"Maikel Garcia",22715,672580
"Connor Joe","PIT",133,472,11,63,42,3,0.105932203,0.233050847,0.174334141,0.310580204,0.246973365,0.33898305,0.421307506,0.3324202253656872,0.328,106.58724763402341,0.6112262727692723,4.463034955954967,-1.5473198890686035,1.8937926090706596,"Connor Joe",16572,656582
"Matt Wallner","MIN",76,254,14,42,41,2,0.11023622,0.314960629,0.258215962,0.327731092,0.248826291,0.37007874,0.507042253,0.37693102439872833,0.376,143.59832300686298,1.5616788635961711,14.830624983502966,-4.535789966583252,1.8871304958168376,"Matt Wallner",26466,670242
"Anthony Volpe","NYY",159,601,21,62,60,24,0.086522462,0.277870216,0.17375231,0.259154929,0.208872458,0.283333333,0.382624768,0.29024980366230013,0.307,84.28652759373136,3.549585328437388,-7.766066302403091,6.185411989688873,1.8785692036197088,"Anthony Volpe",27647,683011
"Chris Taylor","LAD",117,384,15,51,56,16,0.106770833,0.325520833,0.183431953,0.326633165,0.23668639,0.325520833,0.420118343,0.32349547634574133,0.314,104.37791254491829,3.324894880875945,5.407548402865366,0.29162001609802246,1.8724798450166782,"Chris Taylor",13757,621035
"Jorge Soler","MIA",137,580,36,77,75,1,0.113793103,0.243103448,0.261904761,0.271903323,0.25,0.34137931,0.511904761,0.36067228246894145,0.376,126.47133742077638,-3.732486159540713,15.288043064569344,-16.365729808807373,1.8623775699964022,"Jorge Soler",14221,624585
"Adam Duvall","BOS",92,353,21,45,58,4,0.062322946,0.31161473,0.284375,0.298969072,0.246875,0.303116147,0.53125,0.3474012113768946,0.306,115.65365078259276,3.0453979852609336,9.666393225247926,-3.0142250061035156,1.8593038854330333,"Adam Duvall",10950,594807
"Jazz Chisholm Jr.","MIA",97,383,19,50,51,22,0.067885117,0.308093994,0.207386363,0.31797235,0.25,0.303664921,0.457386363,0.325198243893878,0.309,102.69018121461187,3.7942410255782306,5.070676979797699,0.5266630053520203,1.8589294585362413,"Jazz Chisholm Jr.",20454,665862
"Mauricio Dubón","HOU",132,492,10,76,46,7,0.038617886,0.142276422,0.132762312,0.307692307,0.278372591,0.308943089,0.411134903,0.3105616219402329,0.302,97.15657740405551,0.0851654508151114,-1.5910870641138688,3.5008000135421753,1.8573288305658286,"Mauricio Dubon",16530,643289
"Tommy Pham","- - -",129,481,16,55,68,22,0.097713097,0.22037422,0.190140845,0.3,0.255868544,0.328482328,0.446009389,0.33211884734531244,0.361,110.20508243355579,3.078497668262571,9.159572008268704,-7.4890700578689575,1.8001892174063814,"Tommy Pham",2967,502054
"Harold Ramírez","TBR",122,434,12,58,68,5,0.050691244,0.182027649,0.1475,0.358730158,0.3125,0.352534562,0.46,0.3494875307456689,0.319,127.86076920199315,1.5091516338288784,15.997395968700351,-12.780640363693237,1.791160188410923,"Harold Ramirez",14387,623912
"Cedric Mullins","BAL",116,455,15,51,74,19,0.094505494,0.221978021,0.183168317,0.270547945,0.232673267,0.305309734,0.415841584,0.31064951155508175,0.288,98.66381753930689,3.2940745055675507,2.565607153349939,-0.0986400842666626,1.7875409481307838,"Cedric Mullins",17929,656775
"Mike Yastrzemski","SFG",106,381,15,54,43,2,0.118110236,0.259842519,0.212121212,0.285714285,0.233333333,0.329815303,0.445454545,0.33292329771087525,0.326,112.0703996855204,0.21631897939369082,5.913569881267916,-1.0504130125045776,1.778925777439017,"Mike Yastrzemski",14854,573262
"Mike Tauchman","CHC",108,401,8,64,48,7,0.139650872,0.21446384,0.12462908,0.31300813,0.252225519,0.3625,0.376854599,0.3299969658815771,0.345,107.32137602723253,2.2687179064378142,5.905822618636413,-1.9427680373191833,1.7570951515776196,"Mike Tauchman",15274,643565
"Teoscar Hernández","SEA",160,678,26,70,93,7,0.056047197,0.311209439,0.1776,0.341772151,0.2576,0.305309734,0.4352,0.3165054340687024,0.336,104.70479439663227,-2.8845137041062117,0.9375970925169739,-6.417159795761108,1.7506547256389011,"Teoscar Hernandez",13066,606192
"Triston Casas","BOS",132,502,24,66,65,0,0.139442231,0.250996015,0.226107226,0.316725978,0.263403263,0.366533864,0.489510489,0.36729977309703826,0.371,129.4457320608662,-2.140191210899502,15.571458010781214,-15.102699756622314,1.7475200139607683,"Triston Casas",22514,671213
"Jared Triolo","PIT",54,209,3,30,21,6,0.114832535,0.301435406,0.099447514,0.439655172,0.298342541,0.387559808,0.397790055,0.35001119158484717,0.323,118.3799143919965,1.8462687549181283,6.605189689557511,3.79436494410038,1.7468430832022421,"Jared Triolo",25807,669707
"Gary Sánchez","- - -",75,267,19,33,47,0,0.078651685,0.250936329,0.275,0.211538461,0.216666666,0.288389513,0.491666666,0.3294778595702925,0.342,111.21000824365028,-2.077550833579153,1.6304166106756366,6.619141012430191,1.729434332018053,"Gary Sanchez",11442,596142
"Elly De La Cruz","CIN",98,427,13,67,44,35,0.081967213,0.337236533,0.175257732,0.336206896,0.234536082,0.300469483,0.409793814,0.30457378814688246,0.302,84.20475632401657,5.029915110208094,-3.3255941397190902,5.902080059051514,1.7071328481891954,"Elly De La Cruz",26668,682829
"Will Benson","CIN",108,329,11,51,31,19,0.121580547,0.313069908,0.222996515,0.390804597,0.275261324,0.364741641,0.498257839,0.36938816182156825,0.323,127.65514445788753,1.8711257046088576,13.142854955603841,-7.256499767303467,1.7043503239224114,"Will Benson",21853,666181
"Kyle Higashioka","NYY",92,260,10,24,34,0,0.053846153,0.284615384,0.17768595,0.291925465,0.23553719,0.274131274,0.41322314,0.29327701371609016,0.307,86.38474593209564,-1.0698457434773445,-5.311468371432108,13.438069820404053,1.6912470293241273,"Kyle Higashioka",5517,543309
"Michael A. Taylor","MIN",129,388,21,48,51,13,0.067010309,0.335051546,0.222535212,0.27804878,0.219718309,0.277922077,0.442253521,0.30754705574605373,0.311,95.50694089967632,2.3308585002087057,0.24201075272990247,3.408769965171814,1.6785921725442892,"Michael A. Taylor",11489,572191
"Gabriel Moreno","ARI",111,380,7,33,50,6,0.076315789,0.197368421,0.123167155,0.338345864,0.284457478,0.339473684,0.407624633,0.3246466633520628,0.314,102.54401017058726,-7.730078429915011,-6.532452586781202,10.381669998168945,1.6744216901708835,"Gabriel Moreno",22664,672515
"Jake Meyers","HOU",112,341,10,42,33,5,0.076246334,0.258064516,0.155339806,0.283018867,0.226537216,0.296187683,0.381877022,0.2967231130320306,0.285,87.56483693977738,2.4856652105227113,-2.595213092372278,7.755920171737671,1.6699226567310181,"Jake Meyers",20308,676694
"Carlos Santana","- - -",146,619,23,78,86,6,0.105008077,0.168012924,0.189090909,0.25526932,0.24,0.31825525,0.429090909,0.3233136450916962,0.306,100.90851326920885,2.2212832551449537,2.917974965113816,-7.340839982032776,1.6612586670610983,"Carlos Santana",2396,467793
"Trent Grisham","SDP",153,555,13,67,50,15,0.135135135,0.277477477,0.153518123,0.264026402,0.198294243,0.314545454,0.351812366,0.29884219776500354,0.326,90.68972358708564,4.047510609030724,-2.3538792446067145,0.08362007141113281,1.658549888269549,"Trent Grisham",18564,663757
"Ryan Mountcastle","BAL",115,470,18,64,68,3,0.078723404,0.227659574,0.182033097,0.314754098,0.269503546,0.327659574,0.451536643,0.3332618720241701,0.357,114.33688566701845,0.9072434701956809,8.981185170347572,-8.375347435474396,1.652773247404696,"Ryan Mountcastle",18373,663624
"Kyle Farmer","MIN",120,369,11,49,46,2,0.062330623,0.23306233,0.151785715,0.311203319,0.25595238,0.31707317,0.407738095,0.3156610123187223,0.312,101.13088247457613,0.5182271609082818,1.0182349494448157,2.9809340238571167,1.648960663508926,"Kyle Farmer",14813,571657
"Alejandro Kirk","TOR",123,422,8,34,43,0,0.099526066,0.106635071,0.107526881,0.264797507,0.25,0.334123222,0.357526881,0.30811400792944177,0.317,96.0025610085093,-10.293793527409434,-12.31507699863394,14.387959957122803,1.6364397180997305,"Alejandro Kirk",22581,672386
"Ezequiel Tovar","COL",153,615,15,79,73,11,0.040650406,0.269918699,0.154905335,0.327543424,0.253012048,0.287112561,0.407917383,0.29848037730616805,0.29,70.2792673452019,-0.6350044198334217,-23.279014836523295,18.458829879760742,1.6080536803893457,"Ezequiel Tovar",24064,678662
"Andy Ibáñez","DET",114,383,11,42,41,1,0.062663185,0.180156657,0.168539326,0.299638989,0.264044943,0.311518324,0.432584269,0.32042954276993635,0.33,102.85201593907274,-0.2395249460823834,1.0693062914777438,1.702219009399414,1.573974755697851,"Andy Ibanez",18819,628451
"Mark Canha","- - -",139,507,11,51,62,11,0.096646942,0.15581854,0.137931035,0.293447293,0.262068965,0.355029585,0.4,0.3328234616946797,0.322,110.90800741821961,0.8837950034067035,7.7350810972462,-9.335706055164337,1.5623029196509197,"Mark Canha",11445,592192
"Whit Merrifield","TOR",145,592,11,66,67,26,0.06081081,0.170608108,0.109689214,0.31292517,0.272394881,0.317567567,0.382084095,0.3041132765301203,0.274,93.22957603562435,1.038862245157361,-3.763672340793417,-0.8242800235748291,1.5481960621177535,"Whit Merrifield",11281,593160
"Mickey Moniak","LAA",85,323,14,35,45,6,0.027863777,0.349845201,0.215434083,0.39673913,0.279742765,0.306501547,0.495176848,0.33908739019624934,0.309,114.1558704190931,-0.03624633653089404,5.442384406577812,-0.930310994386673,1.5442583201640778,"Mickey Moniak",19956,666160
"Jorge Polanco","MIN",80,343,14,38,48,4,0.104956268,0.256559766,0.198675497,0.310344827,0.254966887,0.335276967,0.453642384,0.3401274602892795,0.351,118.0890548161969,1.660475059878081,9.094823706483147,-5.477898806333542,1.5227561025246066,"Jorge Polanco",13152,593871
"Taylor Ward","LAA",97,409,14,60,47,4,0.095354523,0.195599022,0.168539326,0.283582089,0.252808988,0.334963325,0.421348314,0.32904749613227935,0.338,107.19702400079383,-1.0531936078332365,2.4738366737090542,-1.1425199508666992,1.5184483553694719,"Taylor Ward",17548,621493
"Freddy Fermin","KCR",70,235,9,26,32,0,0.055319148,0.212765957,0.179723503,0.322981366,0.28110599,0.32051282,0.460829493,0.33333371974464154,0.332,107.90451591255287,-2.2237815470434725,0.0019668521605451517,7.14778995513916,1.5091382112144107,"Freddy Fermin",21840,666023
"J.T. Realmuto","PHI",135,540,20,70,63,16,0.064814814,0.255555555,0.200408998,0.306547619,0.251533742,0.310408921,0.45194274,0.3239852186675384,0.336,101.79949914917069,-1.4656583764590323,-0.2618312520353361,-3.379190444946289,1.4709162781696188,"J.T. Realmuto",11739,592663
"Jake Fraley","CIN",111,380,15,41,65,21,0.097368421,0.186842105,0.1875,0.282868525,0.25595238,0.339473684,0.44345238,0.33845561900466836,0.328,106.91852516865706,1.8653287244960666,5.122314342773975,-3.5281399488449097,1.4495537710524875,"Jake Fraley",19260,641584
"Sal Frelick","MIL",57,223,3,29,24,7,0.125560538,0.165919282,0.104712042,0.285714285,0.246073298,0.340807174,0.35078534,0.3093835112759885,0.298,92.3110561612078,3.6145775145851076,1.4904026237313222,5.351709842681885,1.4396507047864764,"Sal Frelick",29622,686217
"Kyle Schwarber","PHI",160,720,47,108,104,0,0.175,0.298611111,0.276923077,0.208588957,0.196581196,0.343055555,0.473504273,0.35009095793837436,0.365,119.30031632180471,-0.7925520339049399,16.42278947476149,-26.527999877929688,1.4376519408766737,"Kyle Schwarber",16478,656941
"Ryan O'Hearn","BAL",112,368,14,48,60,5,0.040760869,0.222826086,0.190751445,0.339920948,0.289017341,0.321525885,0.479768786,0.33921510307756186,0.326,118.46318623645114,-0.43078247690573335,7.710398299321829,-5.823997139930725,1.434892113139845,"Ryan O'Hearn",16442,656811
"Christopher Morel","CHC",107,429,26,62,70,6,0.083916083,0.31002331,0.260309278,0.303030303,0.24742268,0.313084112,0.507731958,0.34716927503871026,0.346,118.83338263516923,2.2777933441102505,12.287107980963965,-12.857210159301758,1.4001545778454558,"Christopher Morel",21897,666624
"Spencer Torkelson","DET",159,684,31,88,94,3,0.097953216,0.25,0.212871287,0.268948655,0.232673267,0.312865497,0.445544554,0.32570957552810714,0.349,106.51170963838761,0.6673474307172,6.004185896770647,-15.323800086975098,1.3880612612957455,"Spencer Torkelson",27465,679529
"Johan Rojas","PHI",59,164,2,24,23,14,0.030487804,0.25609756,0.127516779,0.409523809,0.302013422,0.341772151,0.429530201,0.3352181447457664,0.268,109.32985037076573,2.6620121360756457,4.557570871100484,3.6704190969467163,1.3774668633077292,"Johan Rojas",24336,679032
"Eddie Rosario","ATL",142,516,21,64,74,3,0.065891472,0.236434108,0.194560669,0.299703264,0.255230125,0.304854368,0.449790794,0.3222595701421745,0.32,99.75877369344303,-1.6204649824649096,-1.7746680765985756,-2.2516098022460938,1.3509886726220857,"Eddie Rosario",12155,592696
"Jesús Sánchez","MIA",125,402,14,43,52,3,0.094527363,0.266169154,0.197222223,0.320833333,0.252777777,0.326683291,0.45,0.33395061910152435,0.354,108.55761583296155,-2.015538795851171,2.246305298971458,-2.4208199977874756,1.3479021425352276,"Jesus Sanchez",19913,660821
"Evan Carter","TEX",23,75,5,15,12,3,0.16,0.32,0.338709678,0.411764705,0.306451612,0.413333333,0.64516129,0.43462388257722595,0.339,179.87667298078014,0.24589760787785053,7.42407456020387,3.292851984500885,1.3227683635399434,"Evan Carter",27790,694497
"Jarred Kelenic","SEA",105,416,11,44,49,13,0.098557692,0.317307692,0.166666666,0.359307359,0.252688172,0.326923076,0.419354838,0.3208089135225537,0.333,107.68761995164775,0.36532872449606657,4.197264002900401,-5.164354145526886,1.3129722955213259,"Jarred Kelenic",22558,672284
"Andrew McCutchen","PIT",112,473,12,55,43,11,0.158562367,0.21141649,0.141025641,0.312056737,0.256410256,0.378435517,0.397435897,0.34528912439689796,0.351,115.2143256424944,-1.6988866333849728,7.216343684939456,-10.801987804472446,1.2488876808567013,"Andrew McCutchen",9847,457705
"Donovan Solano","MIN",134,450,5,43,38,0,0.088888888,0.222222222,0.109137056,0.365517241,0.281725888,0.368888888,0.390862944,0.33781239649235273,0.349,116.48443893990068,-2.7247809949330986,6.163537603330962,-9.123330116271973,1.2294564395930592,"Donovan Solano",8623,456781
"Yoán Moncada","CHW",92,357,11,39,40,1,0.056022408,0.299719887,0.164670659,0.350230414,0.260479041,0.305322128,0.4251497,0.3148423541827696,0.317,98.27003544491171,-0.0932942177169025,-0.8333055160737961,0.9679500162601471,1.22294278993043,"Yoan Moncada",17232,660162
"Jonathan India","CIN",119,529,17,78,61,14,0.098298676,0.206049149,0.162995594,0.280597014,0.244493392,0.338374291,0.407488986,0.3272954125260135,0.339,99.43692385618327,-0.4151676041074097,-0.7841804788561917,-4.971642166376114,1.2226739144432162,"Jonathan India",21523,663697
"Stone Garrett","WSN",89,271,9,40,40,3,0.095940959,0.302583025,0.188034188,0.364864864,0.269230769,0.343283582,0.457264957,0.3436796473923014,0.34,115.1443605963687,0.4693840937688947,5.553775217260211,-2.5606849789619446,1.2188561087956449,"Stone Garrett",19273,656448
"Esteury Ruiz","OAK",132,497,5,47,47,67,0.040241448,0.199195171,0.091314031,0.315028901,0.25389755,0.308641975,0.345211581,0.2895069504521557,0.273,86.34881708919437,9.196076804306358,1.0666560136236303,-5.834156095981598,1.2084318697207819,"Esteury Ruiz",21780,665923
"Justin Turner","BOS",146,626,23,86,96,4,0.081469648,0.175718849,0.179211469,0.303944315,0.275985663,0.345047923,0.455197132,0.345657459082314,0.336,114.44502205282451,-3.4703073306009173,7.364606749948427,-16.607309579849243,1.1992266378405452,"Justin Turner",5235,457759
"Zach McKinstry","DET",148,518,9,60,35,16,0.084942084,0.218146718,0.120689655,0.284057971,0.230603448,0.302325581,0.351293103,0.2889655525832213,0.311,81.04371059031612,1.7275073388591409,-10.03814522463329,4.344800919294357,1.18725674439056,"Zach McKinstry",19392,656716
"Matt Vierling","DET",134,530,10,63,44,6,0.083018867,0.211320754,0.127348643,0.32122905,0.260960334,0.328922495,0.388308977,0.3145906592183041,0.323,98.80497185362186,-0.6880694418214262,-1.4469736014678851,-4.657490015029907,1.1869168442070237,"Matt Vierling",21558,663837
"Ryan McMahon","COL",152,627,23,80,70,5,0.10845295,0.315789473,0.190990991,0.326409495,0.239639639,0.322169059,0.43063063,0.3249372963905334,0.333,88.01550913644321,-5.912222246173769,-15.22128265503125,5.753829836845398,1.1853937269289279,"Ryan McMahon",15112,641857
"Blake Perkins","MIL",67,168,4,28,20,5,0.136904761,0.273809523,0.132867133,0.29032258,0.216783216,0.325301204,0.349650349,0.30348921217114094,0.28,88.3596242586454,2.1245237844996154,-0.29815033535671365,6.365200161933899,1.1755677936067785,"Blake Perkins",19921,663368
"Elvis Andrus","CHW",112,406,6,39,44,12,0.061576354,0.174876847,0.106951872,0.294314381,0.251336898,0.303703703,0.35828877,0.2901095891057855,0.267,81.12727352192857,0.8797015673480928,-8.301374986772151,6.003030061721802,1.146342493535553,"Elvis Andrus",8709,462101
"Carlos Correa","MIN",135,580,18,60,65,0,0.101724137,0.225862068,0.1692607,0.27173913,0.229571984,0.312068965,0.398832684,0.30857912124339587,0.329,96.22228562780481,-9.193960276897997,-11.819327393758675,3.5401298999786377,1.139457222749782,"Carlos Correa",14162,621043
"Josh Rojas","- - -",105,350,4,47,40,12,0.077142857,0.231428571,0.092356688,0.313304721,0.245222929,0.303468208,0.337579617,0.2835194275558339,0.276,77.7240279818758,4.952769892290235,-4.72570707076553,4.149689018726349,1.1301492505557866,"Josh Rojas",19734,668942
"Dairon Blanco","KCR",69,138,3,19,18,24,0.072463768,0.239130434,0.193548387,0.329545454,0.258064516,0.323529411,0.451612903,0.33302049952394824,0.304,107.68741686777979,2.158456395380199,3.429593652405845,3.18927001953125,1.127562626346365,"Dairon Blanco",19779,680118
"Michael Conforto","SFG",125,470,15,58,58,4,0.112765957,0.225531914,0.145320197,0.283737024,0.238916256,0.334042553,0.384236453,0.3147379205973875,0.33,99.87925057548175,0.6445651557296515,0.5742576571707598,-5.326344072818756,1.1223837876343075,"Michael Conforto",16376,624424
"Victor Caratini","MIL",62,226,7,23,25,1,0.084070796,0.199115044,0.12437811,0.296052631,0.258706467,0.327433628,0.383084577,0.31233578946738116,0.306,94.2902102596339,-3.307500469032675,-4.906127949091063,8.45464015007019,1.1214089846301665,"Victor Caratini",14968,605170
"Kyle Isbel","KCR",91,313,5,45,34,7,0.054313099,0.188498402,0.140410959,0.282608695,0.239726027,0.282051282,0.380136986,0.28609388436262423,0.286,75.16166452840076,4.223319980781525,-5.092042424152142,5.701189875602722,1.1211871367732937,"Kyle Isbel",21614,664728
"Joey Wiemer","MIL",132,410,13,48,42,11,0.087804878,0.282926829,0.158038147,0.258333333,0.204359673,0.282926829,0.36239782,0.28369834597517807,0.293,75.09218419918915,0.8644579071551561,-11.78693143333159,8.778580069541931,1.0924884327601303,"Joey Wiemer",27690,686894
"Alec Bohm","PHI",145,611,20,74,97,4,0.06873977,0.153846153,0.163082437,0.295555555,0.274193548,0.327332242,0.437275985,0.3292119360360943,0.342,105.30339628577909,-7.162435842677951,-3.1480971684405272,-6.771960020065308,1.0859205445700764,"Alec Bohm",21618,664761
"Jason Delay","PIT",70,187,1,20,18,0,0.07486631,0.235294117,0.095808384,0.333333333,0.251497005,0.318918918,0.347305389,0.29604611267914643,0.266,82.2026979631742,-0.95443553943187,-5.077446568083335,9.549519538879395,1.0810495279271743,"Jason Delay",19806,641511
"Jordan Westburg","BAL",68,228,3,26,23,4,0.070175438,0.245614035,0.144230769,0.335526315,0.259615384,0.311403508,0.403846153,0.30875247743046075,0.314,97.34894618315528,0.8003711351193488,0.07612477632859771,3.0143908858299255,1.0806436250195344,"Jordan Westburg",27815,676059
"Luis Campusano","SDP",49,174,7,27,30,0,0.040229885,0.120689655,0.171779142,0.330882352,0.319018404,0.356321839,0.490797546,0.3639122090120425,0.348,134.31148654278388,-2.1698457077145576,5.226334796532963,-0.32091009616851807,1.080110773552756,"Luis Campusano",22217,669134
"Zach Neto","LAA",84,329,9,38,34,5,0.060790273,0.234042553,0.152249135,0.27184466,0.224913494,0.307926829,0.377162629,0.3022373923804702,0.314,88.61441812081333,-0.39996199728921056,-4.8882845322476305,4.483681082725525,1.0743061465562143,"Zach Neto",31347,687263
"Nicky Lopez","- - -",94,262,1,32,25,6,0.099236641,0.152671755,0.075555555,0.275675675,0.231111111,0.325581395,0.306666666,0.288417588370715,0.288,76.63468664547216,0.30107535794377327,-7.0594180974259455,8.887261897325516,1.070520859048068,"Nicky Lopez",19339,670032
"DJ LeMahieu","NYY",136,562,15,55,44,2,0.106761565,0.222419928,0.146881288,0.295264623,0.243460764,0.327402135,0.390342052,0.31456542078937805,0.32,101.14015613556427,-7.0382830472663045,-6.270508742171852,-2.1715201139450073,1.0622360212121782,"DJ LeMahieu",9874,518934
"Harrison Bader","- - -",98,344,7,44,40,20,0.049418604,0.171511627,0.115987461,0.260700389,0.231974921,0.274052478,0.347962382,0.2707706535175312,0.294,70.0420136684982,4.37129225442186,-8.093931374029971,6.93720481172204,1.050407573032656,"Harrison Bader",18030,664056
"Jake Cronenworth","SDP",127,522,10,54,48,6,0.088122605,0.185823754,0.148471616,0.266853932,0.229257641,0.311538461,0.377729257,0.30108382469438677,0.304,92.1924698856444,3.1610126881860197,-1.8879584730707917,-5.373899936676025,1.048721391040356,"Jake Cronenworth",18036,630105
"Travis Jankowski","TEX",107,287,1,34,30,19,0.121951219,0.146341463,0.068825911,0.310679611,0.263157894,0.356643356,0.331983805,0.3122938487913225,0.303,95.08734034066515,0.399871539324522,-1.2895246260827267,2.019819974899292,1.0451797135087366,"Travis Jankowski",13768,608671
"Aaron Hicks","- - -",93,312,8,44,36,6,0.134615384,0.221153846,0.130111524,0.310880829,0.252788104,0.352564102,0.382899628,0.3262197214307509,0.284,109.4603284853376,3.1988340648822486,6.735497560502431,-6.8588520884513855,1.0447556530294655,"Aaron Hicks",5297,543305
"Cavan Biggio","TOR",111,338,9,54,40,5,0.118343195,0.260355029,0.134948097,0.304123711,0.235294117,0.340236686,0.370242214,0.31763126511545575,0.318,102.59915761191394,2.23156266938895,3.284208429132417,-4.392969965934753,1.0345810627028582,"Cavan Biggio",19252,624415
"Parker Meadows","DET",37,145,3,19,13,8,0.117241379,0.255172413,0.136,0.302325581,0.232,0.331034482,0.368,0.3080712366435263,0.324,94.28623289633722,3.485127358697355,2.4924149147811807,2.7413820326328278,1.0131628321622006,"Parker Meadows",23800,678009
"Vladimir Guerrero Jr.","TOR",156,682,26,78,94,5,0.098240469,0.146627565,0.179401993,0.277083333,0.264119601,0.34457478,0.443521594,0.33973506740136195,0.374,117.91973414270372,-7.106924888677895,7.536709128563517,-20.838780403137207,0.9841634171151257,"Vladimir Guerrero Jr.",19611,665489
"Ramón Laureano","- - -",105,404,9,46,35,12,0.081683168,0.282178217,0.146814404,0.30125523,0.224376731,0.304455445,0.371191135,0.297835901822194,0.306,91.13182222077421,-1.0309491027146578,-5.323828475419853,1.4268299341201782,0.9801522767985255,"Ramon Laureano",17128,657656
"Taylor Walls","TBR",99,349,8,50,36,22,0.126074498,0.263610315,0.132013201,0.261083743,0.201320132,0.304597701,0.333333333,0.2869548890097388,0.278,84.51817542577945,6.5306920278817415,0.056575702495580416,-2.1614997386932373,0.9725139444005115,"Taylor Walls",22458,670764
"Nick Castellanos","PHI",157,671,29,79,106,11,0.053651266,0.275707898,0.204472843,0.337320574,0.271565495,0.311475409,0.476038338,0.33461245383662014,0.323,108.92380610003569,-4.730577900540084,2.687499567882991,-15.8831205368042,0.9630653151008173,"Nick Castellanos",11737,592206
"Yan Gomes","CHC",116,419,10,44,63,1,0.050119331,0.193317422,0.141361257,0.308724832,0.267015706,0.315035799,0.408376963,0.311683170675661,0.317,95.04413774216877,-1.6628068913705647,-4.235286667729259,-0.5018301010131836,0.9506662727395552,"Yan Gomes",9627,543228
"Christian Vázquez","MIN",102,355,6,34,32,1,0.070422535,0.230985915,0.094801223,0.279166666,0.22324159,0.279661016,0.318042813,0.2642439125955274,0.265,65.49268769200988,-4.408704469446093,-19.08689148811237,16.556689977645874,0.9504342177326848,"Christian Vazquez",9774,543877
