Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Trea Turner","PHI",155,691,26,102,76,30,0.06512301,0.2170767,0.192488263,0.310344827,0.266040688,0.319826338,0.458528951,0.33315842409438423,0.33,107.94905076296422,7.3211167440749705,14.125864591155784,0.5186500549316406,3.8071478634261635,"Trea Turner",16252,607208
"Nolan Jones","COL",106,424,20,60,62,20,0.125,0.297169811,0.245231608,0.4009009,0.297002724,0.389150943,0.542234332,0.39499556791754065,0.36,134.98131189364068,3.017894120886922,21.392611516616018,1.167370319366455,3.6896541746926927,"Nolan Jones",20529,666134
"Paul Goldschmidt","STL",154,687,25,89,80,11,0.126637554,0.234352256,0.178752108,0.326829268,0.268128161,0.36297376,0.446880269,0.3501565110157518,0.367,122.20901726987779,2.61498663155362,21.516857764135136,-8.239749908447266,3.6572079542896185,"Paul Goldschmidt",9218,502671
"Andrés Giménez","CLE",153,616,15,76,62,30,0.051948051,0.181818181,0.147217235,0.288683602,0.251346499,0.31372549,0.398563734,0.3091371192524977,0.3,97.4235964133611,2.5734049854800105,0.6717683456114187,14.903200387954712,3.6401101334091592,"Andres Gimenez",19950,665926
"Ian Happ","CHC",158,691,21,86,84,14,0.143270622,0.221418234,0.18275862,0.298543689,0.248275862,0.360347322,0.431034482,0.3452609958254201,0.349,117.55410663843703,1.7929086270742118,16.820019777486266,-5.2495503425598145,3.5006108508024987,"Ian Happ",17919,664023
"Manny Machado","SDP",138,601,30,75,91,3,0.083194675,0.181364392,0.20441989,0.268292682,0.257826887,0.319467554,0.462246777,0.3338982049624125,0.332,114.1906390907419,-3.5228728521615267,7.042751015382688,7.352860331535339,3.476662619029905,"Manny Machado",11493,592518
"Matt Chapman","TOR",140,581,17,66,54,4,0.106712564,0.283993115,0.184675835,0.319148936,0.239685658,0.330464716,0.424361493,0.32836984118510937,0.339,110.04227415714914,2.2310629901476204,9.22209249971467,5.680779933929443,3.4545101387660613,"Matt Chapman",16505,656305
"Luis Arraez","MIA",147,617,10,71,69,3,0.056726094,0.055105348,0.114982578,0.362101313,0.353658536,0.392857142,0.468641114,0.36892370392780494,0.353,132.0029416733034,-2.600423655938357,21.861678929011955,-8.54470956325531,3.423443290403626,"Luis Arraez",18568,650333
"Willy Adames","MIL",149,638,24,73,80,5,0.111285266,0.258620689,0.189873418,0.259459459,0.216998191,0.309748427,0.406871609,0.3114004119174687,0.341,93.66315000600254,-0.25265590799972415,-5.261215258141736,17.698400497436523,3.4070350262816658,"Willy Adames",15986,642715
"Brandon Marsh","PHI",133,472,12,58,60,10,0.125,0.305084745,0.18069307,0.396825396,0.277227722,0.371549893,0.457920792,0.35825564027595114,0.324,124.77377223049042,3.0541785107925534,17.54032451505075,0.14880099892616272,3.366964535193394,"Brandon Marsh",20202,669016
