Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,IBB,HBP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,maxEV,HardHit%,CStr%,CSW%,xBA,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID
2019,"Christian Yelich","MIL",130,580,44,100,97,30,0.137931034,0.203448275,0.341513293,0.354545454,0.329243353,0.429310344,0.670756646,0.4415942572110088,,174.1123599285484,8.487373974872753,16,8,1.201492537,0.209115281,0.431635388,0.359249329,0.074626865,0.328358208,0.062111801,0.3065,0.7118,0.4518,0.5679,0.8696,0.7384,0.3586,0.5483,0.1182,0.393,0.3743,0.2326,0.1444,0.3476,0.508,93.28811233108108,11.259459459459459,0.1578,117.9,0.4866,0.1401,0.2583,,,,"Christian Yelich",11477,592885
2017,"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.4301848456241202,,173.81717355747818,0.011398485861718655,11,5,0.808219178,0.218934911,0.349112426,0.431952662,0.061643835,0.356164383,0.042372881,0.2468,0.6616,0.4108,0.4484,0.8056,0.6759,0.3954,0.5678,0.1332,0.4142,0.3077,0.2781,0.1124,0.4349,0.4527,94.86745330991124,15.765503651997042,0.2485,121.07,0.5503,0.1569,0.2901,,,,"Aaron Judge",15640,592450
2020,"Brandon Belt","SFG",51,179,9,25,30,0,0.167597765,0.201117318,0.281879194,0.35576923,0.308724832,0.424581005,0.590604026,0.4271298720595542,,171.47070351575653,-0.16505527403205633,1,0,0.723404255,0.27027027,0.306306306,0.423423423,0,0.191489361,0,0.2201,0.7463,0.4257,0.6087,0.86,0.7808,0.3907,0.5922,0.0933,0.4336,0.3451,0.2212,0.115,0.4779,0.4071,90.65676027590091,17.983783343890767,0.1681,109.099,0.469,0.1472,0.2405,,,,"Brandon Belt",10264,474832
2021,"Byron Buxton","MIN",61,254,19,50,32,9,0.051181102,0.244094488,0.340425532,0.344155844,0.306382978,0.358267716,0.64680851,0.41880863904953003,,170.7007138912002,4.412973602535203,0,6,1.045454545,0.215116279,0.40116279,0.38372093,0.045454545,0.287878787,0.101449275,0.3455,0.8,0.5297,0.6,0.7967,0.7204,0.4054,0.6535,0.1481,0.5376,0.2659,0.1965,0.1387,0.4335,0.4277,92.46511627906976,13.26034900753997,0.1792,115.576,0.5318,0.1232,0.2714,,,,"Byron Buxton",14161,621439
2021,"Bryce Harper","PHI",141,599,35,101,84,13,0.166944908,0.223706176,0.305327869,0.359133126,0.309426229,0.42881072,0.614754098,0.43089849349769477,,170.48416318714777,-2.5192621676251292,14,5,1.091603053,0.219373219,0.407407407,0.373219373,0.06870229,0.267175572,0.062937062,0.2944,0.7452,0.4721,0.5421,0.7887,0.6955,0.3942,0.5526,0.1437,0.3806,0.3444,0.275,0.1278,0.4389,0.4333,92.47948940527066,13.29333322204416,0.1806,116.33,0.4917,0.1191,0.2628,,,,"Bryce Harper",11579,547180
2018,"J.D. Martinez","BOS",150,649,43,111,130,6,0.106317411,0.224961479,0.298769772,0.374677002,0.330404217,0.402157164,0.629173989,0.4274841462930542,,170.38445572089674,-4.1179662980139256,11,4,1.280821917,0.225581395,0.43488372,0.339534883,0.02739726,0.294520547,0.080213903,0.3316,0.7655,0.5036,0.5893,0.8338,0.7366,0.3963,0.5948,0.1326,0.3767,0.3093,0.314,0.1093,0.4419,0.4488,92.99626675407926,10.760349513767483,0.1512,116.705,0.5233,0.1211,0.2537,,,,"J.D. Martinez",6184,502110
2016,"Gary Sánchez","NYY",53,229,20,34,42,1,0.104803493,0.248908296,0.358208955,0.317460317,0.298507462,0.375545851,0.656716417,0.42480808680278087,,170.19605289974623,-1.116679199039936,2,2,1.44,0.164383561,0.493150684,0.342465753,0.14,0.4,0.069444444,0.3316,0.6317,0.4512,0.5323,0.8511,0.7102,0.3987,0.5808,0.1296,0.5411,0.3082,0.1507,0.1849,0.3973,0.4178,92.71301102311644,7.899451686911387,0.1644,113.144,0.4863,0.1807,0.3103,,,,"Gary Sanchez",11442,596142
2016,"Mike Trout","LAA",159,681,29,123,100,30,0.170337738,0.201174743,0.234972677,0.37113402,0.315118397,0.440528634,0.550091074,0.4181869367669338,,170.13313891335955,9.63374575600028,12,11,1.124183006,0.220623501,0.412470023,0.366906474,0.02614379,0.189542483,0.104651162,0.2298,0.6029,0.3875,0.7063,0.8696,0.8137,0.4228,0.558,0.0713,0.4053,0.3285,0.2662,0.1199,0.4628,0.4173,90.93308846393035,13.745547166511194,0.1343,117.136,0.4005,0.1881,0.2595,,,,"Mike Trout",10155,545361
2019,"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302968341251,,167.2947956420142,-2.0928174224682152,2,9,0.686363636,0.225469728,0.315240083,0.459290187,0.118181818,0.186363636,0.019867549,0.1884,0.5883,0.3508,0.7699,0.9167,0.8699,0.4061,0.5522,0.0456,0.453,0.3633,0.1837,0.1482,0.4029,0.4489,89.26624265491454,19.617521367521366,0.0459,107.4,0.3716,0.2041,0.2497,,,,"Alex Bregman",17678,608324
2018,"Christian Yelich","MIL",147,651,36,118,110,22,0.104454685,0.207373271,0.271777003,0.372839506,0.325783972,0.402457757,0.597560975,0.42197743531184495,,167.08370527681993,5.825568637344986,2,7,2.203883495,0.246575342,0.51826484,0.235159817,0.048543689,0.349514563,0.066079295,0.2772,0.6458,0.44,0.6224,0.8809,0.7899,0.4415,0.6052,0.0924,0.3492,0.381,0.2698,0.1451,0.3787,0.4762,92.626944206621,4.970981824343608,0.1224,113.624,0.5079,0.1734,0.2658,,,,"Christian Yelich",11477,592885
2020,"José Ramírez","CLE",58,254,17,45,46,10,0.122047244,0.169291338,0.315068494,0.29375,0.292237442,0.385826771,0.607305936,0.4147126395401992,,166.7171736031139,1.8930280655622482,0,3,0.588888888,0.1875,0.301136363,0.511363636,0.111111111,0.188888888,0.113207547,0.2586,0.6556,0.4145,0.8056,0.8881,0.8568,0.3927,0.5236,0.0593,0.5198,0.2881,0.1921,0.1977,0.4689,0.3333,88.72857142857143,23.181028180803573,0.1017,114.277,0.3503,0.1702,0.2295,,,,"Jose Ramirez",13510,608070
2017,"J.D. Martinez","- - -",119,489,45,85,104,4,0.108384458,0.261758691,0.386574074,0.326996197,0.30324074,0.376278118,0.689814814,0.43023428562525157,,166.54611379131893,-5.758377408143133,8,0,0.887218045,0.185064935,0.383116883,0.431818181,0.067669172,0.338345864,0.059322033,0.321,0.7644,0.5141,0.5405,0.805,0.7118,0.4356,0.6339,0.1481,0.3831,0.3279,0.289,0.1396,0.3701,0.4903,90.97679866217321,15.449837080014298,0.1851,114.77,0.4903,0.1183,0.2664,,,,"J.D. Martinez",6184,502110
2020,"Nelson Cruz","MIN",53,214,16,33,33,0,0.116822429,0.271028037,0.291891892,0.36036036,0.302702702,0.397196261,0.594594594,0.41143730097410214,,166.03903373696443,-0.6841001133434474,5,4,1.512820512,0.228346456,0.464566929,0.307086614,0.102564102,0.41025641,0.050847457,0.3385,0.6963,0.4764,0.5227,0.8018,0.6799,0.3853,0.5561,0.1525,0.3465,0.378,0.2756,0.1417,0.4724,0.3858,91.567203125,9.4387197265625,0.1496,114.404,0.4646,0.143,0.2955,,,,"Nelson Cruz",2434,443558
2021,"Vladimir Guerrero Jr.","TOR",161,698,48,123,111,4,0.123209169,0.157593123,0.289735099,0.3125,0.311258278,0.401146131,0.600993377,0.4190478740656255,,165.70204874353664,-2.0867143163923174,7,6,1.226519337,0.1875,0.447580645,0.364919354,0.077348066,0.26519337,0.058558558,0.2829,0.761,0.4727,0.5584,0.8404,0.7386,0.397,0.6275,0.1236,0.3992,0.3548,0.246,0.1069,0.4758,0.4173,95.12007955121703,9.354787335192698,0.1512,117.391,0.5524,0.1267,0.2503,,,,"Vladimir Guerrero Jr.",19611,665489
2020,"Dominic Smith","NYM",50,199,10,27,42,0,0.070351758,0.226130653,0.299435029,0.368,0.31638418,0.376884422,0.615819209,0.4118372555354133,,165.58469292872283,0.5635119730141014,0,5,1.222222222,0.259259259,0.407407407,0.333333333,0.022222222,0.222222222,0.054545454,0.3708,0.7308,0.5192,0.6424,0.8465,0.7608,0.4122,0.5427,0.1242,0.4444,0.3556,0.2,0.1037,0.5185,0.3778,89.7910447761194,10.805746050023322,0.1333,110.669,0.4667,0.148,0.2721,,,,"Dominic Smith",15653,642086
2019,"Nelson Cruz","MIN",120,521,41,81,108,0,0.107485604,0.251439539,0.328193832,0.350877192,0.310572687,0.392307692,0.638766519,0.4173318138346076,,164.02155416747024,-4.516339402878657,8,7,0.984732824,0.202453987,0.395705521,0.40184049,0.076335877,0.312977099,0.093023255,0.3049,0.7196,0.4617,0.5362,0.8087,0.6967,0.378,0.5451,0.14,0.4172,0.3282,0.2546,0.1196,0.3558,0.5245,93.68558282208589,13.134969325153374,0.1865,117,0.5138,0.1343,0.2744,,,,"Nelson Cruz",2434,443558
2020,"José Abreu","CHW",60,262,19,43,60,0,0.06870229,0.225190839,0.3,0.349693251,0.316666666,0.370229007,0.616666666,0.41113405460598823,,163.85719254951434,-0.9967966848053038,1,3,1.396551724,0.236263736,0.445054945,0.318681318,0.086206896,0.327586206,0.074074074,0.3638,0.6811,0.4849,0.5887,0.824,0.7149,0.3817,0.5916,0.1383,0.3791,0.3846,0.2363,0.1319,0.4725,0.3956,92.85934280563187,10.935109568166208,0.1429,114.005,0.533,0.1548,0.2931,,,,"Jose Abreu",15676,547989
2021,"Juan Soto","WSN",151,654,29,111,95,9,0.221712538,0.142201834,0.221115538,0.332467532,0.312749003,0.464831804,0.533864541,0.4202396429472982,,163.69431786920762,-3.3224405054934323,23,2,1.831932773,0.185990338,0.526570048,0.287439613,0.06722689,0.243697478,0.059633027,0.1514,0.6285,0.3499,0.6261,0.8868,0.8209,0.416,0.5367,0.0627,0.3116,0.4348,0.2536,0.1594,0.4493,0.3913,92.95351278753027,5.772687935078692,0.1329,116.575,0.5242,0.2003,0.263,,,,"Juan Soto",20123,665742
2017,"Matt Olson","OAK",59,216,24,33,45,0,0.101851851,0.277777777,0.391534391,0.238095238,0.259259259,0.351851851,0.65079365,0.4107490949852522,,163.649817320422,-1.8241224421653897,1,5,0.827586206,0.158730158,0.38095238,0.46031746,0.103448275,0.413793103,0.020833333,0.2828,0.6816,0.4486,0.5629,0.7799,0.7,0.4158,0.5694,0.1346,0.4961,0.2868,0.2171,0.1783,0.4186,0.4031,92.2856015625,17.44351953125,0.1395,110.95,0.4961,0.1477,0.2823,,,,"Matt Olson",14344,621566
2017,"Joey Votto","CIN",162,707,36,106,100,5,0.189533239,0.117397454,0.257602862,0.320627802,0.320214669,0.454031117,0.577817531,0.42821609574807956,,163.1086085092273,-9.605643679853529,20,8,1.027322404,0.230290456,0.390041493,0.379668049,0.00546448,0.196721311,0.026595744,0.1583,0.7144,0.4185,0.7826,0.8795,0.86,0.468,0.5587,0.0585,0.3859,0.3112,0.3029,0.1037,0.5332,0.3631,87.54095471673597,14.086818639553014,0.0871,110.852,0.3278,0.1489,0.2075,,,,"Joey Votto",4314,458015
2016,"David Ortiz","BOS",151,626,38,79,127,2,0.127795527,0.137380191,0.305400372,0.311904761,0.314711359,0.400958466,0.620111731,0.4191684136609204,,162.93854283797472,-9.834330266341567,15,2,0.728155339,0.221006564,0.328227571,0.450765864,0.072815533,0.184466019,0.006666666,0.2914,0.6987,0.4435,0.7065,0.9052,0.8234,0.3735,0.5192,0.0767,0.4803,0.3406,0.179,0.1245,0.417,0.4585,93.22262089932127,16.80384571196267,0.1354,113.384,0.476,0.1408,0.2175,,,,"David Ortiz",745,120074
2018,"Max Muncy","LAD",137,481,35,75,79,3,0.164241164,0.272349272,0.318987342,0.298701298,0.263291139,0.39085239,0.582278481,0.4070573350002891,,161.74955345725022,3.0865612477064133,6,5,0.764705882,0.207547169,0.343396226,0.449056603,0.058823529,0.294117647,0.054945054,0.2152,0.5778,0.3698,0.5804,0.8035,0.7291,0.4264,0.5593,0.1002,0.4474,0.312,0.2406,0.1241,0.4023,0.4737,90.2800030048077,18.36656348033301,0.1617,110.628,0.4586,0.2115,0.3117,,,,"Max Muncy",13301,571970
2019,"David Freese","LAD",79,186,11,35,29,0,0.123655913,0.236559139,0.283950618,0.373831775,0.314814814,0.403225806,0.598765432,0.4151984376292075,,160.80086500019698,-2.111115739447996,0,1,1.444444444,0.254237288,0.440677966,0.305084745,0.083333333,0.305555555,0.019230769,0.2929,0.6463,0.4479,0.5854,0.7972,0.7194,0.4385,0.6237,0.1257,0.339,0.2627,0.3983,0.1017,0.4237,0.4746,91.54102397168803,11,0.1525,110,0.5,0.1832,0.3088,,,,"David Freese",9549,501896
2019,"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149257560291201,,160.62221277269842,1.3684554428327829,21,3,0.743455497,0.261640798,0.314855875,0.423503325,0.089005235,0.246073298,0.105633802,0.268,0.7038,0.4442,0.6946,0.8301,0.7814,0.4044,0.5394,0.0971,0.4791,0.3231,0.1978,0.1319,0.3758,0.4923,91.14406809284117,17.85234899328859,0.1256,110.6,0.4559,0.1492,0.2463,,,,"Cody Bellinger",15998,641355
2020,"Salvador Perez","KCR",37,156,11,22,32,1,0.019230769,0.23076923,0.3,0.375,0.333333333,0.352564102,0.633333333,0.4103143673676711,,160.56836163558074,-0.201572485268116,0,2,0.953488372,0.269565217,0.356521739,0.373913043,0.046511627,0.255813953,0.097560975,0.4718,0.7847,0.5879,0.6287,0.8902,0.7583,0.3712,0.6538,0.1421,0.4609,0.3652,0.1739,0.1217,0.4522,0.4261,90.97522296736726,14.167522599211836,0.1391,110.374,0.4696,0.103,0.2451,,,,"Salvador Perez",7304,521692
2020,"José Iglesias","BAL",39,150,3,16,24,0,0.02,0.113333333,0.183098592,0.406504065,0.373239436,0.4,0.556338028,0.4074574891726176,,159.86673432658043,0.9730344284325838,0,4,2,0.357142857,0.428571428,0.214285714,0.111111111,0.111111111,0.092592592,0.3766,0.6163,0.4859,0.7586,0.9308,0.8582,0.4558,0.5933,0.0688,0.4206,0.3492,0.2302,0.2302,0.4841,0.2857,86.2383984375,7.6325361328125,0.0317,110.213,0.3571,0.1975,0.2663,,,,"Jose Iglesias",10231,578428
2020,"Mike Trout","LAA",53,241,17,41,46,1,0.145228215,0.232365145,0.32160804,0.3,0.281407035,0.390041493,0.603015075,0.40701847312822625,,159.7689984843953,1.268594381865114,4,3,0.5,0.244897959,0.25170068,0.50340136,0.081081081,0.229729729,0.108108108,0.1735,0.5991,0.3666,0.6804,0.8741,0.824,0.4536,0.6141,0.0645,0.381,0.3333,0.2857,0.102,0.483,0.415,93.66805691189236,23.056111653645832,0.1497,112.865,0.551,0.2209,0.2854,,,,"Mike Trout",10155,545361
2017,"Jose Altuve","HOU",153,662,24,112,81,32,0.087613293,0.126888217,0.201694916,0.37037037,0.345762711,0.409984871,0.547457627,0.4050187865289149,,159.64130980108996,3.9526770373340696,3,9,1.43902439,0.20318725,0.470119521,0.326693227,0.091463414,0.146341463,0.127118644,0.3314,0.6778,0.4757,0.7489,0.9172,0.8488,0.4168,0.6692,0.0719,0.4078,0.3294,0.2627,0.1902,0.5275,0.2824,86.12751004016064,9.665702850464358,0.0568,109.075,0.2798,0.1612,0.2331,,,,"Jose Altuve",5417,514888
2020,"Trea Turner","WSN",59,259,12,46,41,12,0.084942084,0.138996138,0.253218884,0.352941176,0.334763948,0.393822393,0.587982832,0.41259795381295633,,158.69705449318357,2.4362001202534884,0,2,1.289855072,0.20603015,0.44723618,0.346733668,0.072463768,0.173913043,0.123595505,0.2902,0.7186,0.4685,0.6857,0.8835,0.812,0.4163,0.6448,0.0881,0.3065,0.3869,0.3065,0.1608,0.4724,0.3668,90.50816127232143,9.52193902463329,0.0905,111.211,0.407,0.1723,0.2604,,,,"Trea Turner",16252,607208
2021,"Brandon Belt","SFG",97,381,29,65,59,3,0.125984251,0.270341207,0.323076923,0.30927835,0.273846153,0.377952755,0.596923076,0.40626283628599985,,158.60965482799855,-2.067207895219326,3,7,0.546296296,0.226851851,0.273148148,0.5,0.055555555,0.268518518,0.084745762,0.2347,0.7865,0.4721,0.6588,0.794,0.7557,0.4303,0.5328,0.1153,0.435,0.3184,0.2466,0.157,0.4574,0.3857,89.17684823495371,23.00523093894676,0.1704,109.942,0.4484,0.1185,0.2338,,,,"Brandon Belt",10264,474832
2020,"Michael Conforto","NYM",54,233,9,40,31,3,0.103004291,0.244635193,0.193069307,0.411764705,0.321782178,0.412017167,0.514851485,0.4007338582190321,,158.2526698914889,-0.24188748211599886,0,7,1.463414634,0.303448275,0.413793103,0.28275862,0.073170731,0.219512195,0.066666666,0.277,0.6862,0.4421,0.5779,0.8682,0.7597,0.4034,0.6052,0.1062,0.3241,0.3931,0.2828,0.1448,0.4897,0.3655,88.44827586206897,10.9716552734375,0.1103,114.366,0.3655,0.1727,0.279,,,,"Michael Conforto",16376,624424
